dataset,symbol,status,range_start,range_end,error,fingerprint,category,adapter_version,raw_status,first_failure,last_failure,attempts,next_action
valuation_daily,002711.SZ,FAILED,UNKNOWN,UNKNOWN,002711.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:50:14.501456+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,002740.SZ,FAILED,UNKNOWN,UNKNOWN,002740.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:50:20.650497+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,002750.SZ,FAILED,UNKNOWN,UNKNOWN,002750.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:50:26.975800+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,002751.SZ,FAILED,UNKNOWN,UNKNOWN,002751.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:50:33.261879+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,002770.SZ,FAILED,UNKNOWN,UNKNOWN,002770.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:50:39.354211+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,002776.SZ,FAILED,UNKNOWN,UNKNOWN,002776.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:50:45.645195+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,002781.SZ,FAILED,UNKNOWN,UNKNOWN,002781.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:50:51.825008+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300023.SZ,FAILED,UNKNOWN,UNKNOWN,300023.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:50:57.893930+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300028.SZ,FAILED,UNKNOWN,UNKNOWN,300028.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:51:04.173061+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300038.SZ,FAILED,UNKNOWN,UNKNOWN,300038.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:51:10.317256+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300064.SZ,FAILED,UNKNOWN,UNKNOWN,300064.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:51:16.461729+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300089.SZ,FAILED,UNKNOWN,UNKNOWN,300089.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:51:22.734003+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300090.SZ,FAILED,UNKNOWN,UNKNOWN,300090.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:51:28.886565+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300104.SZ,FAILED,UNKNOWN,UNKNOWN,300104.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:51:35.175899+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300108.SZ,FAILED,UNKNOWN,UNKNOWN,300108.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:51:41.555128+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300114.SZ,FAILED,UNKNOWN,UNKNOWN,300114.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:51:47.845593+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300116.SZ,FAILED,UNKNOWN,UNKNOWN,300116.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:51:53.909665+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300117.SZ,FAILED,UNKNOWN,UNKNOWN,300117.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:52:00.223784+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
